Shop,Camera,Year,Month,Day,track_id,gender,age,baseline,datetime,staytime
Taiwan,cam006,2024,11,1,228,Male,1.0,Negotiation_table_11,2024-11-01 09:15:08,159
Taiwan,cam006,2024,11,1,6,Male,2.0,Negotiation_table_11,2024-11-01 09:00:23,75
