Shop,Camera,Year,Month,Day,track_id,gender,age,baseline,datetime,staytime
Taiwan,cam004,2024,11,1,1290,Female,1.0,Negotiation_table_4,2024-11-01 09:33:04,556
Taiwan,cam004,2024,11,1,950,Male,2.0,Negotiation_table_4,2024-11-01 09:27:08,1192
