track_id,gender,age,solution,direction,group,group_head_count,group_with_youth,datetime,Camera,Shop,staytime
173,Male,1.0,entrance_shop,1.0,0,1,N,2024-11-01 09:01:11,cam002,Taiwan,0 min 9 sec
497,Male,2.0,entrance_shop,1.0,1,1,N,2024-11-01 09:11:28,cam002,Taiwan,48 min 8 sec
830,Male,0.0,entrance_shop,1.0,2,1,N,2024-11-01 09:21:24,cam002,Taiwan,0 min 40 sec
950,Male,2.0,entrance_shop,1.0,3,1,N,2024-11-01 09:25:36,cam002,Taiwan,21 min 40 sec
