frame_idx x1 y1 x2 y2 id conf cls gender age face_x1 face_y1 face_x2 face_y2 face_id
2 240 70 278 137 13 0 0 0 0 0 0 0 0 -1
3 242 69 282 137 13 0 0 0 0 0 0 0 0 -1
9 262 63 303 125 15 0 0 0 0 0 0 0 0 -1
10 265 60 305 126 15 0 0 0 0 0 0 0 0 -1
11 268 59 308 124 15 0 0 1 2 0 0 0 0 -1
12 273 63 310 122 15 0 0 1 2 0 0 0 0 -1
13 276 62 312 121 15 0 0 1 2 0 0 0 0 -1
14 280 61 314 119 15 0 0 1 2 0 0 0 0 -1
15 281 61 317 117 15 0 0 1 2 0 0 0 0 -1
16 285 60 322 115 15 0 0 1 2 0 0 0 0 -1
17 287 62 323 113 15 0 0 1 2 0 0 0 0 -1
44 422 40 467 138 26 0 0 0 0 0 0 0 0 -1
45 429 51 480 137 26 0 0 0 0 0 0 0 0 -1
46 433 35 488 137 26 0 0 1 1 0 0 0 0 -1
47 438 36 491 135 26 0 0 1 1 0 0 0 0 -1
48 446 26 491 133 26 0 0 1 1 0 0 0 0 -1
49 450 21 493 132 26 0 0 1 1 0 0 0 0 -1
50 451 19 506 132 26 0 0 1 1 0 0 0 0 -1
51 457 17 514 131 26 0 0 1 1 0 0 0 0 -1
52 466 31 520 129 26 0 0 1 1 0 0 0 0 -1
53 477 34 520 125 26 0 0 1 1 0 0 0 0 -1
54 487 23 523 122 26 0 0 1 1 0 0 0 0 -1
55 490 18 533 120 26 0 0 1 1 0 0 0 0 -1
56 494 15 539 121 26 0 0 1 1 0 0 0 0 -1
57 497 10 544 119 26 0 0 1 1 0 0 0 0 -1
58 504 7 545 117 26 0 0 1 1 0 0 0 0 -1
59 510 5 544 113 26 0 0 1 1 0 0 0 0 -1
60 515 5 544 112 26 0 0 1 1 0 0 0 0 -1
141 736 0 788 92 47 0 0 0 0 0 0 0 0 -1
142 734 0 789 92 47 0 0 0 0 0 0 0 0 -1
143 748 0 790 93 0 0 0 0 0 0 0 0 0 -1
144 758 0 793 93 0 0 0 0 0 0 0 0 0 -1
145 759 0 793 92 0 0 0 0 0 0 0 0 0 -1
146 761 0 795 91 0 0 0 0 0 0 0 0 0 -1
147 762 0 796 91 0 0 0 0 0 0 0 0 0 -1
148 761 0 795 91 0 0 0 0 0 0 0 0 0 -1
149 761 0 795 91 0 0 0 0 0 0 0 0 0 -1
150 759 0 793 91 0 0 0 0 0 0 0 0 0 -1
151 757 0 792 91 0 0 0 0 0 0 0 0 0 -1
152 752 0 791 92 0 0 0 0 0 0 0 0 0 -1
153 746 0 789 92 0 0 0 0 0 0 0 0 0 -1
154 742 0 788 92 0 0 0 0 0 0 0 0 0 -1
155 741 0 788 92 0 0 0 0 0 0 0 0 0 -1
156 739 0 788 92 0 0 0 0 0 0 0 0 0 -1
157 740 0 788 92 0 0 0 0 0 0 0 0 0 -1
158 726 0 787 92 0 0 0 0 0 0 0 0 0 -1
172 734 0 793 90 51 0 0 0 0 0 0 0 0 -1
173 734 0 796 89 51 0 0 0 0 0 0 0 0 -1
174 749 0 797 89 0 0 0 0 0 0 0 0 0 -1
175 759 0 797 88 0 0 0 0 0 0 0 0 0 -1
176 750 0 799 87 0 0 0 0 0 0 0 0 0 -1
177 752 0 801 88 0 0 0 0 0 0 0 0 0 -1
178 758 0 804 89 0 0 0 0 0 0 0 0 0 -1
179 759 0 807 91 0 0 0 0 0 0 0 0 0 -1
180 759 0 808 91 0 0 0 0 0 0 0 0 0 -1
