frame_idx x1 y1 x2 y2 id conf cls gender age face_x1 face_y1 face_x2 face_y2 face_id
347 1534 30 1571 158 65 0 0 0 0 0 0 0 0 -1
348 1538 34 1581 152 65 0 0 0 0 0 0 0 0 -1
349 1540 37 1595 164 65 0 0 1 1 0 0 0 0 -1
350 1541 40 1607 171 65 0 0 1 1 0 0 0 0 -1
351 1552 46 1621 176 65 0 0 1 1 0 0 0 0 -1
352 1570 53 1631 178 65 0 0 1 1 0 0 0 0 -1
353 1580 61 1643 183 65 0 0 1 1 0 0 0 0 -1
354 1585 66 1657 189 65 0 0 1 1 0 0 0 0 -1
355 1611 70 1666 191 65 0 0 1 1 0 0 0 0 -1
356 1624 72 1676 191 65 0 0 1 1 0 0 0 0 -1
357 1628 73 1687 200 65 0 0 1 1 0 0 0 0 -1
358 1631 82 1697 207 65 0 0 1 1 0 0 0 0 -1
359 1645 85 1715 210 65 0 0 1 1 0 0 0 0 -1
360 1659 87 1728 211 65 0 0 1 1 0 0 0 0 -1
361 1667 89 1737 216 65 0 0 1 1 0 0 0 0 -1
362 1671 100 1745 220 65 0 0 1 1 0 0 0 0 -1
365 1705 114 1776 224 65 0 0 1 1 0 0 0 0 -1
366 1712 117 1786 227 65 0 0 1 1 0 0 0 0 -1
367 1736 123 1799 227 65 0 0 1 1 0 0 0 0 -1
368 1754 127 1813 230 65 0 0 1 1 0 0 0 0 -1
369 1762 131 1819 247 65 0 0 1 1 0 0 0 0 -1
428 1515 21 1573 162 79 0 0 0 0 0 0 0 0 -1
429 1518 27 1584 174 79 0 0 0 0 0 0 0 0 -1
430 1522 32 1596 183 0 0 0 0 0 0 0 0 0 -1
431 1526 39 1609 191 0 0 0 0 0 0 0 0 0 -1
432 1555 43 1619 195 0 0 0 0 0 0 0 0 0 -1
433 1566 45 1627 196 0 0 0 0 0 0 0 0 0 -1
434 1575 53 1635 197 0 0 0 0 0 0 0 0 0 -1
435 1577 63 1651 208 0 0 0 0 0 0 0 0 0 -1
436 1579 68 1658 216 0 0 0 0 0 0 0 0 0 -1
437 1584 75 1666 221 0 0 0 0 0 0 0 0 0 -1
438 1598 77 1678 224 0 0 0 0 0 0 0 0 0 -1
439 1619 76 1689 226 0 0 0 0 0 0 0 0 0 -1
440 1631 78 1696 233 0 0 0 0 0 0 0 0 0 -1
441 1634 88 1711 235 0 0 0 0 0 0 0 0 0 -1
442 1637 90 1726 241 0 0 0 0 0 0 0 0 0 -1
443 1663 90 1733 245 0 0 0 0 0 0 0 0 0 -1
445 1682 114 1745 249 0 0 0 0 0 0 0 0 0 -1
446 1686 120 1768 249 0 0 0 0 0 0 0 0 0 -1
447 1689 124 1777 247 0 0 0 0 0 0 0 0 0 -1
448 1689 135 1784 244 0 0 0 0 0 0 0 0 0 -1
452 1767 161 1822 269 98 0 0 0 0 0 0 0 0 -1
453 1778 167 1830 277 98 0 0 0 0 0 0 0 0 -1
454 1790 171 1844 289 0 0 0 0 0 0 0 0 0 -1
455 1800 178 1854 286 0 0 0 0 0 0 0 0 0 -1
456 1816 183 1872 285 0 0 0 0 0 0 0 0 0 -1
457 1832 197 1878 283 0 0 0 0 0 0 0 0 0 -1
460 1866 221 1902 305 0 0 0 0 0 0 0 0 0 -1
1958 1291 974 1472 1078 356 0 0 0 0 0 0 0 0 -1
1959 1286 933 1489 1078 356 0 0 0 0 0 0 0 0 -1
1960 1289 894 1506 1077 356 0 0 1 2 0 0 0 0 -1
1961 1292 843 1528 1077 356 0 0 1 2 0 0 0 0 -1
1962 1311 801 1540 1075 356 0 0 1 2 0 0 0 0 -1
1963 1320 757 1552 1074 356 0 0 1 2 0 0 0 0 -1
