frame_idx x1 y1 x2 y2 id conf cls gender age face_x1 face_y1 face_x2 face_y2 face_id
0 667 609 839 904 1 0 0 0 0 0 0 0 0 -1
0 781 101 843 286 2 0 0 0 0 0 0 0 0 -1
1 681 591 862 904 1 0 0 0 0 0 0 0 0 -1
1 782 101 843 286 2 0 0 0 0 0 0 0 0 -1
2 693 579 865 902 1 0 0 0 0 0 0 0 0 -1
2 782 101 843 286 2 0 0 0 0 0 0 0 0 -1
3 708 558 874 901 1 0 0 0 0 0 0 0 0 -1
3 782 101 843 286 2 0 0 0 0 0 0 0 0 -1
4 719 541 892 862 0 0 0 0 0 0 0 0 0 -1
4 782 101 843 286 2 0 0 0 2 0 0 0 0 -1
5 728 522 911 824 0 0 0 0 0 0 0 0 0 -1
5 781 101 843 286 2 0 0 0 2 0 0 0 0 -1
6 735 507 921 812 0 0 0 0 0 0 0 0 0 -1
6 781 101 843 286 2 0 0 0 2 0 0 0 0 -1
7 743 494 923 807 0 0 0 0 0 0 0 0 0 -1
7 781 101 843 286 2 0 0 0 2 0 0 0 0 -1
8 748 480 924 799 0 0 0 0 0 0 0 0 0 -1
8 781 101 843 286 2 0 0 0 2 0 0 0 0 -1
9 755 461 927 770 0 0 0 0 0 0 0 0 0 -1
9 781 100 842 286 2 0 0 0 2 0 0 0 0 -1
10 760 445 930 740 0 0 0 0 0 0 0 0 0 -1
10 781 100 841 287 2 0 0 0 2 0 0 0 0 -1
11 766 430 928 725 0 0 0 0 0 0 0 0 0 -1
11 781 100 841 287 2 0 0 0 2 0 0 0 0 -1
12 773 419 926 720 0 0 0 0 0 0 0 0 0 -1
12 781 100 841 287 2 0 0 0 2 0 0 0 0 -1
12 435 106 504 239 19 0 0 0 0 0 0 0 0 -1
13 781 407 930 717 0 0 0 0 0 0 0 0 0 -1
13 781 100 841 287 2 0 0 0 2 0 0 0 0 -1
13 426 109 500 243 19 0 0 0 0 0 0 0 0 -1
14 788 398 942 708 0 0 0 0 0 0 0 0 0 -1
14 781 100 841 287 2 0 0 0 2 0 0 0 0 -1
14 427 107 488 245 0 0 0 0 0 0 0 0 0 -1
15 795 385 954 677 0 0 0 0 0 0 0 0 0 -1
15 781 100 841 287 2 0 0 0 2 0 0 0 0 -1
16 800 374 960 655 0 0 0 0 0 0 0 0 0 -1
16 781 100 841 286 2 0 0 0 2 0 0 0 0 -1
16 408 118 462 260 22 0 0 0 0 0 0 0 0 -1
17 810 364 957 646 0 0 0 0 0 0 0 0 0 -1
17 781 100 841 286 2 0 0 0 2 0 0 0 0 -1
18 821 356 957 642 0 0 0 0 0 0 0 0 0 -1
18 781 101 841 287 2 0 0 0 2 0 0 0 0 -1
18 372 122 423 269 23 0 0 0 0 0 0 0 0 -1
19 828 346 956 639 0 0 0 0 0 0 0 0 0 -1
19 781 101 841 286 2 0 0 0 2 0 0 0 0 -1
19 362 127 427 270 23 0 0 0 0 0 0 0 0 -1
20 831 336 956 628 0 0 0 0 0 0 0 0 0 -1
20 781 101 841 286 2 0 0 0 2 0 0 0 0 -1
20 355 136 420 270 0 0 0 0 0 0 0 0 0 -1
21 832 324 958 600 0 0 0 0 0 878 337 905 371 0
21 781 101 841 286 2 0 0 0 2 0 0 0 0 -1
21 338 138 417 274 0 0 0 0 0 0 0 0 0 -1
22 834 315 961 586 0 0 0 0 0 0 0 0 0 -1
22 781 101 841 286 2 0 0 0 2 0 0 0 0 -1
22 325 136 413 280 0 0 0 0 0 0 0 0 0 -1
23 840 307 965 580 0 0 0 0 0 0 0 0 0 -1
23 781 101 841 286 2 0 0 0 2 0 0 0 0 -1
23 318 141 405 282 0 0 0 0 0 0 0 0 0 -1
24 843 301 970 578 0 0 0 0 0 0 0 0 0 -1
24 781 102 842 286 2 0 0 0 2 0 0 0 0 -1
24 315 143 390 283 0 0 0 0 0 0 0 0 0 -1
25 849 292 974 570 0 0 0 0 0 0 0 0 0 -1
25 781 102 842 286 2 0 0 0 2 0 0 0 0 -1
25 303 142 370 285 0 0 0 0 0 0 0 0 0 -1
26 856 284 978 558 0 0 0 0 0 0 0 0 0 -1
26 781 102 842 286 2 0 0 0 2 0 0 0 0 -1
26 292 151 361 293 0 0 0 0 0 0 0 0 0 -1
27 859 275 979 536 0 0 0 0 0 0 0 0 0 -1
27 781 102 842 286 2 0 0 0 2 0 0 0 0 -1
27 284 148 357 300 0 0 0 0 0 0 0 0 0 -1
28 861 268 977 527 0 0 0 0 0 0 0 0 0 -1
28 781 102 842 286 2 0 0 0 2 0 0 0 0 -1
28 276 151 351 302 0 0 0 0 0 0 0 0 0 -1
29 860 263 969 524 0 0 0 0 0 0 0 0 0 -1
29 782 101 841 286 2 0 0 0 2 0 0 0 0 -1
29 264 160 333 303 0 0 0 0 0 0 0 0 0 -1
30 858 258 962 522 0 0 0 0 0 0 0 0 0 -1
30 782 101 841 286 2 0 0 0 2 0 0 0 0 -1
30 253 164 318 304 0 0 0 0 0 0 0 0 0 -1
31 852 251 956 511 0 0 0 0 0 0 0 0 0 -1
31 782 101 841 286 2 0 0 0 2 0 0 0 0 -1
31 240 169 313 309 0 0 0 0 0 0 0 0 0 -1
32 849 247 952 491 0 0 0 0 0 0 0 0 0 -1
32 782 101 841 286 2 0 0 0 2 0 0 0 0 -1
32 231 171 308 314 0 0 0 0 0 0 0 0 0 -1
33 845 237 944 484 0 0 0 0 0 0 0 0 0 -1
33 782 101 841 286 2 0 0 0 2 0 0 0 0 -1
33 224 180 300 318 0 0 0 0 0 0 0 0 0 -1
34 844 233 939 481 0 0 0 0 0 0 0 0 0 -1
34 782 101 840 286 2 0 0 0 2 0 0 0 0 -1
34 219 189 286 319 0 0 0 0 0 0 0 0 0 -1
35 841 228 936 480 0 0 0 0 0 0 0 0 0 -1
35 782 102 840 286 2 0 0 0 2 0 0 0 0 -1
35 206 188 269 321 0 0 0 0 0 0 0 0 0 -1
36 839 222 934 478 0 0 0 0 0 0 0 0 0 -1
36 782 102 840 286 2 0 0 0 2 0 0 0 0 -1
36 194 187 263 322 0 0 0 0 0 0 0 0 0 -1
37 836 215 931 467 0 0 0 0 0 0 0 0 0 -1
37 781 101 840 286 2 0 0 0 2 0 0 0 0 -1
37 181 189 258 334 0 0 0 0 0 0 0 0 0 -1
38 836 210 928 453 0 0 0 0 0 0 0 0 0 -1
38 781 101 841 286 2 0 0 0 2 0 0 0 0 -1
38 172 192 252 339 0 0 0 0 0 0 0 0 0 -1
39 831 203 922 438 0 0 0 0 0 0 0 0 0 -1
39 781 101 840 286 2 0 0 0 2 0 0 0 0 -1
39 161 195 236 339 0 0 0 0 0 0 0 0 0 -1
40 826 199 917 433 0 0 0 0 0 855 209 877 235 0
40 782 100 838 286 2 0 0 0 2 0 0 0 0 -1
40 154 199 220 341 0 0 0 0 0 0 0 0 0 -1
41 820 197 916 430 0 0 0 0 0 0 0 0 0 -1
41 782 101 835 286 2 0 0 0 2 0 0 0 0 -1
41 141 204 214 345 0 0 0 0 0 0 0 0 0 -1
42 814 194 913 425 0 0 0 0 0 0 0 0 0 -1
42 782 101 832 283 2 0 0 0 2 0 0 0 0 -1
42 133 209 211 351 0 0 0 0 0 0 0 0 0 -1
43 805 189 903 413 0 0 0 0 0 0 0 0 0 -1
43 782 101 832 288 2 0 0 0 2 0 0 0 0 -1
43 125 215 203 356 0 0 0 0 0 0 0 0 0 -1
