frame_idx x1 y1 x2 y2 id conf cls gender age face_x1 face_y1 face_x2 face_y2 face_id
0 88 247 235 477 5 0 0 0 0 0 0 0 0 -1
0 546 0 622 177 6 0 0 0 0 0 0 0 0 -1
1 87 247 226 472 5 0 0 0 0 0 0 0 0 -1
1 542 0 613 177 6 0 0 0 0 0 0 0 0 -1
2 84 246 217 466 5 0 0 0 0 0 0 0 0 -1
2 529 3 597 179 6 0 0 0 0 0 0 0 0 -1
2 1595 0 1642 99 12 0 0 0 0 0 0 0 0 -1
3 80 246 216 453 5 0 0 0 1 0 0 0 0 -1
3 519 8 592 178 6 0 0 1 1 0 0 0 0 -1
3 1603 4 1646 99 12 0 0 0 0 0 0 0 0 -1
4 74 252 214 449 0 0 0 0 0 0 0 0 0 -1
4 1610 2 1655 99 12 0 0 0 3 0 0 0 0 -1
5 67 256 214 449 0 0 0 0 0 0 0 0 0 -1
5 1616 2 1666 97 12 0 0 0 3 0 0 0 0 -1
5 489 21 546 163 16 0 0 0 0 0 0 0 0 -1
6 55 263 210 447 0 0 0 0 0 0 0 0 0 -1
6 1626 10 1675 96 0 0 0 0 0 0 0 0 0 -1
6 483 27 538 159 16 0 0 0 0 0 0 0 0 -1
7 50 269 203 449 0 0 0 0 0 0 0 0 0 -1
7 1634 14 1682 97 0 0 0 0 0 0 0 0 0 -1
8 1647 14 1688 96 0 0 0 0 0 0 0 0 0 -1
9 1654 21 1693 99 0 0 0 0 0 0 0 0 0 -1
10 1662 32 1700 98 0 0 0 0 0 0 0 0 0 -1
11 417 66 478 160 23 0 0 0 0 0 0 0 0 -1
13 395 78 444 168 26 0 0 0 0 0 0 0 0 -1
13 1674 24 1721 148 27 0 0 0 0 0 0 0 0 -1
14 1680 22 1733 151 27 0 0 0 0 0 0 0 0 -1
15 1686 21 1740 152 1 0 0 0 1 0 0 0 0 -1
15 363 90 416 179 28 0 0 0 0 0 0 0 0 -1
16 1689 37 1746 154 1 0 0 0 1 0 0 0 0 -1
16 348 97 408 183 28 0 0 0 0 0 0 0 0 -1
17 1697 43 1751 155 1 0 0 0 1 0 0 0 0 -1
17 338 105 401 201 28 0 0 0 2 0 0 0 0 -1
18 1706 45 1760 179 1 0 0 0 1 0 0 0 0 -1
18 323 116 387 230 28 0 0 0 2 0 0 0 0 -1
19 1712 47 1766 186 1 0 0 0 1 0 0 0 0 -1
19 309 124 374 240 28 0 0 0 2 0 0 0 0 -1
20 1716 49 1773 189 1 0 0 0 1 0 0 0 0 -1
20 296 132 354 256 28 0 0 0 2 0 0 0 0 -1
21 1719 51 1774 189 1 0 0 0 1 0 0 0 0 -1
21 283 138 341 281 28 0 0 0 2 0 0 0 0 -1
22 1720 52 1790 189 1 0 0 0 1 0 0 0 0 -1
22 276 154 333 329 28 0 0 0 2 0 0 0 0 -1
23 1722 51 1790 189 1 0 0 0 2 0 0 0 0 -1
23 265 162 327 356 28 0 0 0 2 0 0 0 0 -1
24 1725 50 1797 188 1 0 0 0 2 0 0 0 0 -1
24 239 166 321 369 28 0 0 0 2 0 0 0 0 -1
24 708 0 766 74 33 0 0 0 0 0 0 0 0 -1
25 1728 49 1798 186 1 0 0 0 2 0 0 0 0 -1
25 224 173 313 373 28 0 0 0 2 0 0 0 0 -1
25 704 0 755 75 33 0 0 0 0 0 0 0 0 -1
26 1728 49 1797 184 1 0 0 0 2 0 0 0 0 -1
26 211 179 308 379 28 0 0 0 2 0 0 0 0 -1
26 697 0 740 79 33 0 0 0 1 0 0 0 0 -1
27 1730 48 1793 181 1 0 0 0 2 0 0 0 0 -1
27 199 188 308 398 28 0 0 0 2 0 0 0 0 -1
27 691 0 735 89 33 0 0 0 1 0 0 0 0 -1
28 1731 51 1794 180 1 0 0 0 2 0 0 0 0 -1
28 185 198 305 412 28 0 0 0 2 0 0 0 0 -1
28 680 0 733 97 33 0 0 0 1 0 0 0 0 -1
29 1732 51 1796 179 1 0 0 0 2 0 0 0 0 -1
29 174 207 299 417 28 0 0 0 2 0 0 0 0 -1
29 673 0 728 101 33 0 0 0 1 0 0 0 0 -1
30 1735 52 1800 179 1 0 0 0 2 0 0 0 0 -1
30 160 217 277 419 28 0 0 0 2 0 0 0 0 -1
30 661 0 712 102 33 0 0 0 1 0 0 0 0 -1
31 1737 52 1802 178 1 0 0 0 2 0 0 0 0 -1
31 140 224 261 420 28 0 0 0 2 0 0 0 0 -1
31 651 0 704 102 33 0 0 0 1 0 0 0 0 -1
32 1740 50 1803 178 1 0 0 0 2 0 0 0 0 -1
32 129 233 254 429 28 0 0 0 2 0 0 0 0 -1
32 634 0 701 111 33 0 0 0 1 0 0 0 0 -1
33 1741 50 1804 178 1 0 0 0 2 0 0 0 0 -1
33 120 241 250 439 28 0 0 0 2 0 0 0 0 -1
33 625 0 699 120 33 0 0 0 1 0 0 0 0 -1
34 1741 49 1803 177 1 0 0 0 2 0 0 0 0 -1
34 102 249 237 442 28 0 0 0 2 0 0 0 0 -1
34 619 0 690 122 33 0 0 0 1 0 0 0 0 -1
35 1740 47 1804 176 0 0 0 0 0 0 0 0 0 -1
35 91 254 218 440 28 0 0 0 2 0 0 0 0 -1
35 611 0 675 122 33 0 0 0 1 0 0 0 0 -1
36 1739 45 1802 171 0 0 0 0 0 0 0 0 0 -1
36 79 261 199 441 28 0 0 0 2 0 0 0 0 -1
36 601 0 664 131 33 0 0 0 1 0 0 0 0 -1
37 1740 44 1801 168 0 0 0 0 0 0 0 0 0 -1
37 71 266 192 442 28 0 0 0 2 0 0 0 0 -1
37 589 0 658 141 33 0 0 0 1 0 0 0 0 -1
38 1740 42 1800 166 0 0 0 0 0 0 0 0 0 -1
38 573 0 651 149 33 0 0 0 1 0 0 0 0 -1
38 63 271 147 378 40 0 0 0 0 0 0 0 0 -1
39 1741 41 1800 164 0 0 0 0 0 0 0 0 0 -1
39 561 0 642 154 33 0 0 0 1 0 0 0 0 -1
39 56 278 136 377 40 0 0 0 0 0 0 0 0 -1
40 1742 42 1800 162 0 0 0 0 0 0 0 0 0 -1
40 548 0 622 154 33 0 0 0 1 0 0 0 0 -1
41 1743 41 1800 161 0 0 0 0 0 0 0 0 0 -1
41 537 0 612 156 33 0 0 0 1 0 0 0 0 -1
42 1743 40 1802 160 0 0 0 0 0 0 0 0 0 -1
42 526 0 610 161 33 0 0 0 1 0 0 0 0 -1
43 1744 40 1803 160 0 0 0 0 0 0 0 0 0 -1
43 515 0 608 166 33 0 0 0 1 0 0 0 0 -1
44 1744 39 1804 159 0 0 0 0 0 0 0 0 0 -1
44 502 2 597 170 33 0 0 0 1 0 0 0 0 -1
45 1743 38 1804 158 0 0 0 0 0 0 0 0 0 -1
45 493 4 579 170 33 0 0 0 1 0 0 0 0 -1
46 1743 37 1803 158 0 0 0 0 0 0 0 0 0 -1
46 484 7 562 171 0 0 0 0 0 0 0 0 0 -1
47 1743 36 1802 157 0 0 0 0 0 0 0 0 0 -1
47 475 11 549 171 0 0 0 0 0 0 0 0 0 -1
48 1743 35 1802 157 0 0 0 0 0 0 0 0 0 -1
49 1741 34 1798 158 0 0 0 0 0 0 0 0 0 -1
50 1739 32 1796 155 0 0 0 0 0 0 0 0 0 -1
51 1737 32 1795 152 0 0 0 0 0 0 0 0 0 -1
52 1737 32 1795 149 0 0 0 0 0 0 0 0 0 -1
53 1737 31 1796 147 0 0 0 0 0 0 0 0 0 -1
54 1737 31 1795 146 0 0 0 0 0 0 0 0 0 -1
55 1737 31 1795 145 0 0 0 0 0 0 0 0 0 -1
55 393 66 454 168 44 0 0 0 0 0 0 0 0 -1
56 1737 32 1795 145 0 0 0 0 0 0 0 0 0 -1
56 376 72 452 177 44 0 0 0 0 0 0 0 0 -1
57 1738 31 1795 146 0 0 0 0 0 0 0 0 0 -1
57 363 73 433 183 44 0 0 0 0 0 0 0 0 -1
58 1738 29 1796 146 0 0 0 0 0 0 0 0 0 -1
58 347 81 426 190 44 0 0 0 0 0 0 0 0 -1
59 1738 29 1796 147 0 0 0 0 0 0 0 0 0 -1
59 336 82 415 186 44 0 0 0 0 0 0 0 0 -1
60 323 87 395 204 44 0 0 0 0 0 0 0 0 -1
61 311 92 378 224 44 0 0 0 0 0 0 0 0 -1
62 298 100 369 240 44 0 0 0 0 0 0 0 0 -1
63 283 110 354 253 44 0 0 0 0 0 0 0 0 -1
64 270 117 341 261 44 0 0 0 0 0 0 0 0 -1
65 259 122 333 276 44 0 0 0 0 0 0 0 0 -1
66 242 130 334 319 44 0 0 0 0 0 0 0 0 -1
67 232 139 333 345 44 0 0 0 0 0 0 0 0 -1
68 219 150 325 361 44 0 0 0 0 0 0 0 0 -1
69 208 158 310 367 44 0 0 0 0 0 0 0 0 -1
70 194 166 306 369 44 0 0 0 0 0 0 0 0 -1
71 185 171 301 372 44 0 0 0 0 0 0 0 0 -1
72 172 182 300 387 44 0 0 0 0 0 0 0 0 -1
73 162 188 298 396 44 0 0 0 0 0 0 0 0 -1
74 145 197 283 398 44 0 0 0 0 0 0 0 0 -1
75 136 203 264 398 44 0 0 0 0 0 0 0 0 -1
76 128 211 249 414 44 0 0 0 0 0 0 0 0 -1
77 115 221 243 431 0 0 0 0 0 0 0 0 0 -1
78 102 233 238 439 0 0 0 0 0 0 0 0 0 -1
79 90 241 228 441 0 0 0 0 0 0 0 0 0 -1
80 76 248 206 434 0 0 0 0 0 0 0 0 0 -1
81 67 253 193 439 0 0 0 0 0 0 0 0 0 -1
82 60 260 146 378 50 0 0 0 0 0 0 0 0 -1
83 51 265 132 379 50 0 0 0 0 0 0 0 0 -1
87 1747 31 1786 145 0 0 0 0 0 0 0 0 0 -1
88 1745 32 1786 145 0 0 0 0 0 0 0 0 0 -1
89 1749 33 1790 143 0 0 0 0 0 0 0 0 0 -1
90 1743 35 1791 146 0 0 0 0 0 0 0 0 0 -1
143 1479 0 1535 105 69 0 0 0 0 0 0 0 0 -1
144 1478 0 1527 104 69 0 0 0 0 0 0 0 0 -1
145 1471 0 1521 105 69 0 0 1 1 0 0 0 0 -1
146 1473 0 1512 105 69 0 0 1 1 0 0 0 0 -1
147 1470 1 1501 104 69 0 0 1 1 0 0 0 0 -1
175 1198 0 1270 98 79 0 0 0 0 0 0 0 0 -1
176 1193 0 1256 97 79 0 0 0 0 0 0 0 0 -1
177 1174 0 1253 96 0 0 0 0 0 0 0 0 0 -1
181 1135 0 1206 96 0 0 0 0 0 0 0 0 0 -1
182 1132 0 1194 79 0 0 0 0 0 0 0 0 0 -1
183 1130 0 1183 77 0 0 0 0 0 0 0 0 0 -1
185 1100 0 1170 128 84 0 0 0 0 0 0 0 0 -1
186 1100 0 1158 129 84 0 0 0 0 0 0 0 0 -1
187 1089 0 1149 129 0 0 0 0 0 0 0 0 0 -1
188 1069 0 1139 137 0 0 0 0 0 0 0 0 0 -1
189 1060 0 1129 141 0 0 0 0 0 0 0 0 0 -1
190 1057 0 1119 143 0 0 0 0 0 0 0 0 0 -1
191 1055 0 1108 144 0 0 0 0 0 0 0 0 0 -1
192 1043 0 1097 145 0 0 0 0 0 0 0 0 0 -1
193 1025 0 1087 148 0 0 0 0 0 0 0 0 0 -1
194 1011 0 1081 155 0 0 0 0 0 0 0 0 0 -1
195 1006 0 1075 158 0 0 0 0 0 0 0 0 0 -1
196 999 0 1059 160 0 0 0 0 0 0 0 0 0 -1
197 993 0 1045 163 0 0 0 0 0 0 0 0 0 -1
198 970 0 1035 169 0 0 0 0 0 0 0 0 0 -1
199 958 0 1029 172 0 0 0 0 0 0 0 0 0 -1
200 952 0 1016 174 0 0 0 0 0 0 0 0 0 -1
201 941 0 998 175 0 0 0 0 0 0 0 0 0 -1
202 919 0 986 177 0 0 0 0 0 0 0 0 0 -1
203 902 1 981 180 0 0 0 0 0 0 0 0 0 -1
204 894 2 976 185 0 0 0 0 0 0 0 0 0 -1
205 886 3 963 187 0 0 0 0 0 0 0 0 0 -1
206 874 5 937 192 0 0 0 0 0 0 0 0 0 -1
207 862 4 926 200 0 0 0 0 0 0 0 0 0 -1
208 845 10 922 206 0 0 0 0 0 0 0 0 0 -1
209 834 14 912 209 0 0 0 0 0 0 0 0 0 -1
210 818 17 890 209 0 0 0 0 0 0 0 0 0 -1
211 807 18 875 211 0 0 0 0 0 0 0 0 0 -1
212 785 24 869 213 0 0 0 0 0 0 0 0 0 -1
213 773 27 866 217 0 0 0 0 0 0 0 0 0 -1
214 759 29 849 219 0 0 0 0 0 0 0 0 0 -1
215 747 29 826 220 0 0 0 0 0 0 0 0 0 -1
216 733 33 813 230 0 0 0 0 0 0 0 0 0 -1
217 720 36 808 233 0 0 0 0 0 0 0 0 0 -1
218 704 40 797 235 0 0 0 0 0 0 0 0 0 -1
219 691 42 780 237 0 0 0 0 0 0 0 0 0 -1
220 676 45 757 237 0 0 0 0 0 0 0 0 0 -1
221 662 49 749 238 0 0 0 0 0 0 0 0 0 -1
222 646 52 744 242 0 0 0 0 0 0 0 0 0 -1
223 632 54 734 242 0 0 0 0 0 0 0 0 0 -1
224 617 56 708 243 0 0 0 0 0 0 0 0 0 -1
225 604 58 690 245 0 0 0 0 0 0 0 0 0 -1
226 588 63 684 244 0 0 0 0 0 0 0 0 0 -1
227 575 68 678 245 0 0 0 0 0 0 0 0 0 -1
229 546 70 613 208 90 0 0 0 0 0 0 0 0 -1
230 534 75 600 202 90 0 0 0 0 0 0 0 0 -1
250 247 162 333 369 100 0 0 0 0 0 0 0 0 -1
251 236 177 334 370 100 0 0 0 0 0 0 0 0 -1
252 222 196 323 377 0 0 0 0 0 0 0 0 0 -1
253 217 214 319 393 0 0 0 0 0 0 0 0 0 -1
254 199 221 315 402 0 0 0 0 0 0 0 0 0 -1
255 186 218 304 407 0 0 0 0 0 0 0 0 0 -1
256 166 235 280 407 0 0 0 0 0 0 0 0 0 -1
