Shop,Camera,Year,Month,Day,track_id,gender,age,baseline,datetime,staytime
Taiwan,cam002,2024,10,28,0,Male,0.0,stay_region2,2024-10-28 09:00:18,103
Taiwan,cam002,2024,10,28,2858,Male,1.0,stay_region2,2024-10-28 09:49:35,1
